0,15
0,16
0,17
0,18
0,19
0,20
0,21
0,22
0,23
0,24
0,25
0,26
-6,16
-13,16
-1,17
-18,15
-2,18
-23,13
-4,19
-25,11
-8,20
-26,8
-1,18
-12,20
-24,6
-2,20
-17,19
-22,4
-3,21
-20,17
-19,2
-6,22
-23,14
-16,2
-1,20
-9,22
-23,10
-15,2
-1,21
-13,22
-21,7
-14,3
-3,23
-16,20
-18,4
-15,4
-5,24
-18,17
-16,5
-1,22
-7,24
-18,14
-13,1
-16,6
-1,23
-9,23
-17,11
-13,0
-2,24
-11,21
-15,8
-14,1
-16,7
-4,24
-13,19
-13,6
-16,1
-15,7
-12,5
-17,1
-13,8
-1,24
-7,23
-12,13
-12,4
-18,2
-12,8
-2,25
-8,21
-11,11
-14,5
-3,25
-9,19
-10,9
-15,5
-17,2
-12,9
-9,17
-17,5
-1,25
-5,23
-8,14
-11,9
-18,5
-14,2
-12,10
-5,21
-8,13
-5,18
-8,12
-14,10
-17,4
-5,16
-15,10
-15,3
-5,15
-9,12
-16,10
-16,4
-11,10
-3,19
-5,14
-10,13
-16,9
-13,2
-3,17
-5,13
-11,14
-2,22
-3,16
-6,14
-12,14
-14,7
-3,15
-7,15
-13,14
-16,3
-8,16
-13,13
-12,6
-14,6
-12,11
-2,16
-4,15
-2,15
-4,16
-5,17
-9,16
-6,18
-9,15
-14,4
-14,8
-1,16
-9,13
-1,19
-3,18
-14,9
-7,17
-13,11
-15,6
-2,17
-14,11
-13,9
-6,15
-2,19
-4,18
-10,14
-13,10
0,27
-3,20
-4,17
0,28
-7,14
0,29
-13,7
0,31
-11,13
-10,12
0,32
-6,17
0,30
-8,15
-7,18
-7,16
-5,19
-9,14
-1,27
-10,15
-11,12
-1,26
-2,21
-4,21
-10,16
-13,12
-2,23
-8,17
-8,18
-12,12
-6,19
-3,24
-6,20
-6,21
-3,22
-4,22
-11,16
-4,23
-11,17
-8,19
-11,15
-4,20
-10,18
-8,22
-9,18
-11,18
-11,19
-7,19
-9,20
-10,19
-5,20
-9,21
-7,20
-10,17
-4,14
-3,13
-3,14
-2,13
-1,12
0,11
0,12
1,11
2,11
1,13
3,11
-1,15
-1,14
1,14
5,12
-1,13
-2,14
2,14
6,13
0,13
2,15
8,14
2,16
9,15
3,16
10,16
4,17
11,16
-10,20
5,17
-7,13
3,15
6,16
11,15
-7,12
7,16
11,14
4,16
8,15
10,13
10,12
10,14
9,11
5,18
1,20
2,19
4,18
9,13
10,11
3,18
8,13
11,12
2,18
7,14
11,13
1,18
12,13
11,11
7,15
12,11
13,11
13,12
8,16
12,12
9,12
9,14
8,12
7,13
6,14
1,17
11,10
1,16
3,17
12,10
5,13
5,14
5,15
-7,21
5,16
2,17
-5,22
1,15
-5,25
-6,24
6,15
-6,23
4,15
1,19
-10,10
1,21
1,22
2,23
3,23
2,20
2,22
3,22
2,21
3,21
-9,11
4,22
3,24
13,16
24,15
4,19
32,14
1,23
3,20
8,20
37,12
15,21
38,9
22,22
36,6
5,22
30,20
31,4
10,23
35,17
25,4
3,19
16,24
20,4
23,24
34,7
17,5
6,25
30,22
29,3
16,6
10,27
34,18
22,0
17,7
2,24
17,28
34,13
17,-1
17,8
5,26
23,27
31,9
14,-1
18,9
8,28
28,24
25,5
14,0
17,9
1,25
13,29
31,19
19,2
16,1
16,9
3,26
18,30
31,14
14,1
19,3
14,8
6,28
23,28
27,9
12,1
13,8
9,30
27,25
22,5
20,6
12,8
14,30
28,20
17,2
18,6
12,7
5,28
19,30
26,14
13,1
16,7
13,7
1,26
7,30
22,27
22,9
1,28
10,32
25,23
18,5
15,8
1,24
3,30
14,32
24,19
14,3
18,2
20,5
15,7
5,31
17,31
22,14
21,3
16,5
13,10
2,28
8,32
19,28
18,10
23,4
14,5
14,11
2,25
11,32
20,24
14,7
22,4
12,5
15,12
15,6
2,26
4,32
14,31
19,19
11,6
20,1
12,6
2,27
6,33
16,29
16,14
22,2
16,4
14,12
2,29
8,33
17,26
14,10
23,2
10,31
17,21
16,8
22,1
13,3
17,10
4,31
12,29
15,17
19,9
19,1
14,4
17,11
1,30
5,32
13,26
13,13
21,9
15,1
16,11
2,31
7,32
13,22
11,9
21,8
13,2
1,29
3,32
8,30
13,17
9,8
19,7
12,3
19,6
12,9
4,33
9,28
10,7
20,9
15,11
2,32
5,33
10,24
2,33
6,31
9,21
8,10
15,9
19,8
18,8
14,9
1,31
3,33
7,29
9,17
17,6
13,6
1,32
7,26
20,10
15,3
1,33
7,22
7,12
12,4
17,4
5,29
7,18
14,15
19,5
13,9
1,34
16,16
1,35
1,36
3,31
5,23
16,15
11,8
1,37
2,37
5,19
10,17
19,4
2,40
4,28
12,18
21,4
15,4
2,42
2,36
4,26
13,18
13,4
2,44
3,35
4,23
8,17
9,10
14,6
3,34
9,19
13,15
17,3
3,43
10,20
19,10
3,41
11,20
3,38
3,29
11,19
10,10
18,7
3,28
4,25
7,27
10,18
17,12
10,15
3,27
8,27
18,12
11,7
8,26
15,10
6,34
7,25
7,20
16,18
7,24
8,23
6,12
5,24
7,28
9,26
15,18
6,24
10,28
6,19
11,28
11,18
15,14
11,27
17,17
16,10
10,19
10,25
8,21
17,19
6,11
9,23
8,24
17,20
16,13
7,11
15,20
15,13
7,19
9,27
13,20
9,18
6,18
11,21
17,18
6,9
6,17
9,24
9,22
14,14
13,14
8,8
